Attrition,Age,BusinessTravel,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
Yes,29,Travel_Rarely,4,2,3,Sales Executive,1,Married,7336,No,1,11,1,11,8,10
No,40,Travel_Frequently,2,3,3,Research Director,3,Single,13499,No,0,20,2,18,7,13
Yes,42,Travel_Frequently,3,3,4,Sales Executive,1,Single,13758,Yes,0,22,2,21,9,14
No,42,Travel_Rarely,2,3,2,Sales Executive,1,Single,5155,No,0,9,4,6,4,5
No,35,Travel_Rarely,4,2,1,Laboratory Technician,3,Married,2258,No,1,10,3,8,0,7
No,24,Travel_Rarely,4,3,1,Laboratory Technician,2,Single,3597,No,0,6,3,4,3,2
Yes,28,Travel_Rarely,3,3,1,Laboratory Technician,4,Married,2515,Yes,0,1,2,1,1,0
No,26,Travel_Rarely,1,4,1,Laboratory Technician,4,Married,4420,No,1,8,3,8,7,7
No,30,Travel_Rarely,3,2,2,Sales Executive,3,Married,6578,No,1,10,3,10,3,4
No,40,Travel_Frequently,3,2,2,Research Scientist,4,Married,4422,Yes,1,16,1,1,1,0
No,35,Travel_Rarely,3,2,3,Manufacturing Director,2,Divorced,10274,No,1,15,4,7,7,4
No,34,Travel_Frequently,4,2,2,Healthcare Representative,1,Single,5343,No,0,14,3,13,9,9
No,35,Travel_Frequently,4,2,1,Laboratory Technician,4,Married,2376,No,1,2,4,2,2,2
Yes,43,Travel_Rarely,1,1,2,Sales Executive,3,Single,5346,No,0,7,2,4,3,3
No,32,Non-Travel,3,3,1,Sales Representative,1,Divorced,2827,No,3,1,3,1,0,0
No,56,Travel_Rarely,4,3,5,Manager,1,Divorced,19943,No,1,28,3,5,2,2
No,29,Travel_Rarely,2,3,1,Laboratory Technician,4,Married,3131,No,1,10,3,10,8,8
No,19,Travel_Rarely,3,3,1,Research Scientist,1,Single,2552,No,0,1,3,1,1,0
No,45,Travel_Rarely,1,3,1,Research Scientist,3,Married,4477,Yes,1,7,2,3,2,2
No,37,Travel_Rarely,4,2,2,Manufacturing Director,4,Married,6474,No,1,14,2,14,8,11
No,20,Travel_Rarely,1,2,1,Laboratory Technician,3,Single,3033,No,0,2,2,2,2,2
Yes,44,Travel_Rarely,3,3,1,Research Scientist,3,Single,2936,Yes,0,6,3,6,4,2
No,53,Travel_Rarely,4,3,5,Manager,3,Divorced,18606,No,1,26,3,7,7,7
No,29,Travel_Rarely,2,1,1,Research Scientist,4,Married,2168,Yes,1,6,2,5,4,3
Yes,22,Travel_Frequently,3,2,1,Research Scientist,4,Married,2853,Yes,1,1,3,0,0,0
No,46,Travel_Rarely,3,3,4,Manager,1,Married,17048,No,0,28,3,26,15,9
No,44,Non-Travel,4,1,1,Research Scientist,3,Single,2290,No,0,6,3,0,0,0
No,33,Travel_Rarely,2,3,1,Human Resources,3,Married,3600,No,1,5,3,5,4,4
Yes,41,Non-Travel,1,2,1,Research Scientist,1,Divorced,2107,No,1,5,1,1,0,0
No,30,Travel_Rarely,3,3,2,Sales Executive,1,Divorced,4115,No,3,8,3,4,3,3
No,40,Travel_Frequently,2,3,2,Sales Executive,2,Married,4327,No,3,5,3,0,0,0
No,50,Travel_Frequently,4,3,4,Manager,1,Married,17856,No,1,32,3,2,2,2
No,28,Travel_Rarely,4,2,1,Laboratory Technician,1,Married,3196,No,3,6,3,6,5,3
No,46,Travel_Rarely,4,3,5,Research Director,2,Married,19081,No,1,25,3,4,2,3
No,35,Travel_Rarely,3,3,2,Sales Executive,1,Married,8966,Yes,3,15,3,7,7,7
Yes,24,Travel_Rarely,4,3,1,Laboratory Technician,2,Married,2210,No,1,1,1,1,0,0
No,33,Travel_Frequently,2,3,2,Sales Executive,3,Married,4539,No,1,10,2,10,7,1
No,36,Travel_Rarely,3,1,1,Laboratory Technician,3,Divorced,2741,No,1,7,3,7,7,7
No,30,Travel_Rarely,3,3,2,Laboratory Technician,3,Divorced,3491,No,3,10,2,10,7,9
No,44,Travel_Rarely,4,3,2,Research Scientist,4,Single,4541,No,0,20,3,20,11,17
No,20,Travel_Rarely,3,4,1,Sales Representative,4,Single,2678,No,0,2,3,2,1,2
No,46,Travel_Rarely,4,3,2,Manufacturing Director,4,Divorced,7379,No,1,12,2,6,3,4
No,42,Non-Travel,4,4,2,Human Resources,1,Married,6272,No,1,10,4,4,3,3
No,60,Travel_Rarely,2,4,2,Sales Executive,4,Divorced,5220,Yes,1,12,3,11,7,9
No,32,Travel_Frequently,3,2,1,Laboratory Technician,2,Married,2743,No,1,2,3,2,2,2
No,32,Travel_Frequently,4,3,2,Research Scientist,3,Single,4998,Yes,0,10,3,8,7,7
No,36,Travel_Rarely,3,1,3,Manufacturing Director,1,Divorced,10252,Yes,1,17,3,7,7,7
No,33,Travel_Rarely,1,3,1,Research Scientist,4,Married,2781,No,1,15,3,14,10,10
No,40,Travel_Rarely,2,2,2,Sales Executive,2,Divorced,6852,No,1,7,4,5,1,3
No,25,Travel_Rarely,3,3,2,Sales Executive,4,Single,4950,No,0,5,3,4,3,1
No,30,Travel_Rarely,4,3,1,Research Scientist,2,Married,3579,Yes,1,12,3,11,9,7
No,42,Travel_Frequently,1,3,3,Research Director,1,Married,13191,Yes,0,20,3,1,0,0
No,35,Non-Travel,3,2,3,Sales Executive,4,Married,10377,Yes,1,16,2,13,2,12
No,27,Travel_Rarely,1,3,1,Research Scientist,1,Married,2235,Yes,2,9,2,9,7,8
No,54,Travel_Frequently,4,3,3,Manufacturing Director,3,Divorced,10502,No,1,33,1,5,4,4
No,44,Travel_Rarely,1,4,1,Research Scientist,4,Married,2011,No,1,10,3,10,5,7
Yes,19,Non-Travel,1,2,1,Research Scientist,2,Single,1859,Yes,0,1,4,1,1,0
No,29,Travel_Rarely,1,3,1,Research Scientist,4,Divorced,3760,No,3,3,3,3,2,2
No,54,Travel_Rarely,4,3,4,Research Director,4,Married,17779,No,0,36,3,10,9,9
No,31,Travel_Rarely,3,3,2,Healthcare Representative,1,Married,6833,Yes,0,6,2,6,5,1
No,31,Travel_Rarely,3,2,2,Healthcare Representative,1,Single,6812,No,0,10,3,10,9,8
No,59,Travel_Rarely,3,2,2,Sales Executive,4,Single,5171,No,0,13,3,6,1,5
No,43,Travel_Rarely,3,1,5,Research Director,4,Married,19740,No,1,25,3,8,7,7
No,49,Travel_Rarely,1,2,5,Manager,3,Married,18711,No,1,23,4,1,0,0
No,36,Travel_Frequently,3,3,1,Research Scientist,2,Married,3692,No,0,12,2,11,10,7
No,48,Travel_Rarely,4,4,1,Laboratory Technician,2,Single,2559,No,0,7,2,1,0,0
No,27,Travel_Rarely,1,3,1,Research Scientist,3,Divorced,2517,No,3,5,3,5,3,3
No,29,Travel_Rarely,3,3,2,Healthcare Representative,4,Divorced,6623,Yes,2,6,3,6,0,0
No,48,Travel_Rarely,4,2,5,Research Director,4,Single,18265,No,0,25,4,1,0,0
No,29,Travel_Rarely,4,2,4,Research Director,4,Divorced,16124,No,2,9,2,7,7,7
No,34,Travel_Rarely,3,4,1,Research Scientist,3,Married,2585,No,0,2,2,1,0,0
No,44,Travel_Rarely,2,3,5,Manager,2,Married,18213,No,1,26,3,22,9,10
No,33,Travel_Rarely,4,4,3,Sales Executive,3,Divorced,8380,Yes,2,10,3,9,8,8
No,19,Travel_Rarely,2,4,1,Research Scientist,4,Single,2994,Yes,0,1,3,1,0,1
No,23,Travel_Rarely,4,3,1,Research Scientist,3,Married,1223,No,1,1,3,1,0,1
Yes,25,Travel_Frequently,3,1,1,Sales Representative,4,Single,1118,Yes,0,1,3,1,0,0
No,26,Travel_Rarely,3,3,1,Research Scientist,4,Single,2875,Yes,0,8,2,8,5,2
Yes,45,Travel_Rarely,1,1,5,Manager,2,Single,18824,Yes,0,26,3,24,10,11
No,55,Non-Travel,4,2,4,Healthcare Representative,2,Divorced,13577,Yes,1,34,3,33,9,0
Yes,21,Travel_Frequently,1,2,1,Laboratory Technician,3,Single,2625,No,0,2,1,2,2,2
No,46,Travel_Rarely,4,2,5,Manager,2,Married,18789,No,1,26,3,11,4,8
No,34,Travel_Rarely,3,3,2,Sales Executive,1,Single,4538,Yes,0,4,3,3,2,2
No,51,Travel_Frequently,4,3,5,Manager,2,Divorced,19847,Yes,1,31,2,29,10,10
No,59,Travel_Rarely,4,3,3,Manufacturing Director,4,Single,10512,No,0,25,2,9,7,4
No,34,Travel_Frequently,3,3,2,Laboratory Technician,2,Divorced,4444,No,2,15,4,11,8,10
No,28,Travel_Frequently,4,3,1,Laboratory Technician,3,Single,2154,Yes,0,5,2,4,2,2
No,44,Travel_Rarely,3,4,5,Manager,1,Divorced,19190,No,2,26,2,25,9,13
No,34,Travel_Frequently,3,2,2,Human Resources,2,Married,4490,No,2,14,4,10,9,8
No,35,Travel_Rarely,3,3,1,Research Scientist,3,Married,3506,Yes,0,4,3,3,2,2
No,42,Travel_Rarely,2,4,2,Research Scientist,2,Married,2372,Yes,0,18,3,1,0,0
No,43,Travel_Rarely,4,2,3,Sales Executive,4,Single,10231,No,0,23,4,21,7,17
No,36,Travel_Rarely,3,3,2,Manufacturing Director,2,Single,5410,Yes,0,18,3,16,14,12
Yes,44,Travel_Rarely,1,3,3,Healthcare Representative,4,Married,7978,No,1,10,3,10,7,5
No,28,Travel_Frequently,4,2,1,Laboratory Technician,4,Married,3867,Yes,1,2,3,2,2,2
No,51,Travel_Frequently,2,2,1,Laboratory Technician,3,Single,2838,No,0,8,2,7,0,7
No,30,Non-Travel,3,3,2,Manufacturing Director,3,Single,4695,Yes,0,10,3,8,4,7
Yes,29,Travel_Rarely,2,3,1,Laboratory Technician,3,Divorced,3339,Yes,2,10,3,7,7,7
No,28,Travel_Rarely,4,3,1,Research Scientist,1,Single,2080,No,0,5,2,3,2,2
No,25,Travel_Rarely,4,3,1,Research Scientist,2,Single,2096,No,0,2,2,2,2,1
No,32,Travel_Rarely,3,4,2,Sales Executive,4,Married,6209,No,2,10,4,10,7,8
No,45,Travel_Frequently,2,3,5,Manager,2,Single,18061,No,0,22,3,0,0,0
No,39,Travel_Rarely,3,2,4,Manager,2,Divorced,17123,Yes,2,21,3,19,9,2
No,58,Travel_Rarely,1,3,1,Research Scientist,3,Divorced,2372,No,2,2,3,2,2,2
Yes,32,Travel_Rarely,4,3,2,Laboratory Technician,3,Married,4883,No,1,10,3,10,4,1
Yes,39,Travel_Rarely,3,3,1,Research Scientist,1,Single,3904,No,0,6,3,5,2,3
No,30,Travel_Rarely,1,2,2,Laboratory Technician,4,Married,4627,No,1,10,3,9,2,7
No,36,Travel_Rarely,4,3,3,Healthcare Representative,3,Married,7094,No,0,10,3,7,7,7
No,46,Travel_Rarely,4,3,1,Human Resources,1,Single,3423,No,0,10,4,7,6,7
No,28,Non-Travel,3,1,2,Laboratory Technician,4,Married,6674,No,3,10,3,9,8,5
No,50,Travel_Rarely,4,3,4,Research Director,1,Married,16880,Yes,0,25,3,3,2,2
Yes,40,Travel_Rarely,4,2,3,Sales Executive,2,Single,9094,Yes,0,9,3,5,4,0
Yes,52,Travel_Rarely,2,3,3,Sales Executive,2,Single,8446,Yes,0,10,2,8,7,7
No,30,Travel_Rarely,2,3,3,Manager,1,Married,11916,Yes,2,9,3,9,1,8
No,39,Travel_Rarely,1,3,2,Manufacturing Director,3,Single,4534,No,0,9,3,8,7,7
No,31,Non-Travel,4,3,3,Sales Executive,3,Divorced,9852,Yes,1,10,2,10,8,6
No,41,Non-Travel,3,1,2,Sales Executive,2,Single,6151,No,0,19,3,19,2,9
Yes,31,Travel_Frequently,4,3,1,Sales Representative,2,Single,2302,Yes,0,3,4,3,2,2
Yes,44,Travel_Rarely,1,3,1,Laboratory Technician,1,Married,2362,No,0,10,4,3,2,2
No,42,Non-Travel,3,3,4,Manager,3,Married,17861,Yes,0,21,2,20,8,10
No,55,Travel_Rarely,4,1,5,Manager,3,Married,19187,No,1,23,3,19,9,11
No,56,Travel_Rarely,4,3,5,Manager,2,Single,19717,No,0,36,3,7,3,7
No,40,Non-Travel,3,3,1,Research Scientist,3,Divorced,3544,No,1,6,3,4,2,0
No,34,Travel_Rarely,4,3,3,Healthcare Representative,4,Divorced,8500,No,1,10,2,9,7,6
No,40,Travel_Rarely,3,3,2,Research Scientist,4,Single,4661,No,0,9,3,9,8,8
No,41,Travel_Frequently,3,3,2,Sales Executive,1,Divorced,4103,No,1,10,3,9,3,7
No,35,Travel_Frequently,3,3,2,Research Scientist,3,Single,4249,Yes,0,9,3,9,6,1
No,51,Travel_Rarely,3,3,4,Manager,2,Divorced,14026,Yes,1,33,3,33,9,10
No,38,Travel_Rarely,2,3,2,Sales Executive,1,Divorced,6893,No,1,11,3,7,7,7
No,34,Travel_Rarely,3,3,2,Sales Executive,1,Single,6125,No,0,10,4,10,8,6
No,25,Travel_Rarely,4,3,1,Laboratory Technician,4,Married,3669,No,3,7,2,3,2,2
Yes,58,Travel_Rarely,3,2,3,Manufacturing Director,1,Married,10008,Yes,0,31,2,10,9,9
No,40,Travel_Rarely,2,3,1,Laboratory Technician,2,Married,2387,No,1,7,3,4,2,3
No,36,Travel_Frequently,1,4,2,Sales Executive,1,Married,4639,No,1,17,2,15,7,13
No,48,Travel_Rarely,4,3,3,Manufacturing Director,4,Single,7898,No,0,11,3,10,9,8
No,27,Travel_Rarely,3,4,1,Sales Representative,4,Married,2534,No,1,5,3,1,0,0
No,51,Travel_Rarely,4,2,4,Manufacturing Director,2,Single,13142,No,0,29,2,5,2,3
No,18,Non-Travel,4,3,1,Laboratory Technician,4,Single,1611,No,0,0,4,0,0,0
No,35,Travel_Rarely,4,2,2,Laboratory Technician,4,Married,5363,No,1,10,3,9,7,0
No,27,Travel_Frequently,4,1,2,Sales Executive,4,Single,5071,No,0,8,3,6,2,0
Yes,55,Travel_Rarely,1,4,4,Sales Executive,3,Single,13695,Yes,0,24,2,19,7,8
No,56,Travel_Rarely,4,3,4,Manufacturing Director,2,Married,13402,Yes,1,33,3,19,16,9
No,34,Non-Travel,1,2,1,Research Scientist,3,Divorced,2029,No,3,5,3,5,4,0
No,40,Travel_Rarely,2,4,2,Healthcare Representative,3,Divorced,6377,No,3,15,3,12,11,8
No,34,Travel_Rarely,2,3,2,Laboratory Technician,3,Married,5429,No,2,10,3,8,7,7
Yes,31,Travel_Frequently,3,2,1,Sales Representative,4,Single,2785,No,0,3,4,1,0,0
Yes,35,Travel_Frequently,4,3,2,Sales Executive,3,Married,4614,Yes,1,5,2,4,2,2
No,38,Travel_Frequently,4,4,1,Research Scientist,3,Divorced,2610,No,3,4,3,4,2,3
No,34,Travel_Rarely,3,3,2,Healthcare Representative,4,Single,6687,No,0,14,4,14,11,11
No,28,Travel_Rarely,3,2,2,Sales Executive,1,Married,4724,No,1,5,3,5,3,4
Yes,31,Travel_Rarely,4,3,2,Manufacturing Director,3,Married,6179,Yes,2,10,2,10,2,7
No,39,Travel_Rarely,1,2,2,Sales Executive,4,Married,6120,Yes,2,8,4,5,4,4
No,51,Travel_Frequently,2,3,3,Sales Executive,2,Married,10596,No,0,14,3,4,2,2
No,41,Travel_Frequently,4,3,2,Research Scientist,4,Divorced,5467,Yes,2,12,2,6,2,3
No,37,Travel_Rarely,3,3,1,Research Scientist,3,Married,2996,Yes,0,8,3,6,4,3
No,33,Travel_Frequently,2,3,2,Sales Executive,4,Married,9998,No,0,8,4,5,4,2
No,32,Travel_Rarely,3,3,2,Sales Executive,2,Married,4078,Yes,3,4,2,3,2,2
No,39,Non-Travel,3,3,3,Healthcare Representative,3,Married,10920,No,1,13,3,6,4,5
No,25,Travel_Rarely,1,4,2,Sales Executive,3,Married,6232,No,0,6,2,3,2,2
No,52,Travel_Frequently,4,4,4,Manufacturing Director,3,Married,13247,Yes,1,24,2,5,3,2
No,43,Travel_Rarely,1,2,2,Research Scientist,3,Single,4081,Yes,0,20,1,20,7,8
No,27,Travel_Rarely,4,2,2,Sales Executive,4,Married,5769,Yes,0,6,3,6,2,4
Yes,27,Travel_Rarely,4,3,1,Research Scientist,3,Single,2394,Yes,0,8,3,8,2,7
No,26,Travel_Rarely,1,2,1,Research Scientist,4,Single,3904,No,0,5,3,4,3,1
No,42,Travel_Rarely,3,3,4,Manager,1,Married,16799,No,1,21,3,20,7,9
No,52,Travel_Rarely,3,3,1,Laboratory Technician,1,Married,2950,No,0,12,1,5,4,4
No,37,Travel_Rarely,1,3,1,Laboratory Technician,3,Single,3629,No,0,8,3,3,2,2
No,35,Travel_Frequently,3,3,3,Manufacturing Director,4,Single,9362,No,0,10,3,2,2,2
No,25,Travel_Rarely,1,3,1,Laboratory Technician,4,Married,3229,No,1,7,2,3,2,2
No,26,Travel_Rarely,3,4,1,Laboratory Technician,1,Single,3578,No,0,8,3,7,7,7
No,29,Travel_Rarely,2,2,3,Human Resources,1,Single,7988,No,0,10,2,10,9,9
Yes,49,Travel_Frequently,1,2,2,Laboratory Technician,1,Single,4284,No,0,20,3,4,3,3
Yes,29,Travel_Frequently,3,3,3,Healthcare Representative,4,Single,7553,Yes,0,9,3,8,7,7
No,54,Travel_Rarely,4,3,4,Research Director,4,Single,17328,No,0,29,2,20,7,7
No,58,Travel_Rarely,4,3,5,Research Director,1,Married,19701,Yes,1,32,3,9,8,5
No,55,Travel_Rarely,2,4,4,Research Director,4,Divorced,14732,No,2,31,4,7,7,0
No,36,Travel_Rarely,1,3,2,Sales Executive,2,Single,9278,Yes,0,15,3,5,4,1
Yes,31,Travel_Frequently,2,1,1,Sales Representative,3,Single,1359,No,0,1,3,1,0,0
No,30,Travel_Rarely,4,3,2,Sales Executive,1,Divorced,4779,No,2,8,3,3,2,2
No,31,Travel_Rarely,1,3,4,Research Director,2,Single,16422,No,0,9,4,3,2,0
No,34,Travel_Frequently,4,3,1,Research Scientist,1,Divorced,2996,No,2,10,3,4,3,3
Yes,31,Travel_Rarely,1,2,1,Research Scientist,2,Single,1261,No,0,1,4,1,0,0
No,27,Travel_Rarely,2,3,1,Laboratory Technician,1,Married,2099,No,0,6,4,5,0,4
No,36,Travel_Rarely,1,2,2,Laboratory Technician,4,Single,5810,No,0,10,2,10,4,8
No,36,Travel_Rarely,3,2,2,Sales Executive,1,Married,5647,No,2,11,2,3,2,2
No,47,Travel_Rarely,1,3,1,Research Scientist,4,Married,3420,No,1,17,2,6,5,2
Yes,25,Travel_Rarely,1,2,1,Sales Representative,1,Married,4400,No,0,6,3,3,2,2
No,37,Non-Travel,3,4,1,Laboratory Technician,3,Single,3500,No,0,7,1,6,5,3
No,56,Travel_Rarely,1,3,1,Research Scientist,1,Married,2066,No,1,5,4,3,2,0
No,47,Travel_Rarely,1,3,4,Research Director,3,Married,17169,No,2,26,4,20,17,6
No,24,Travel_Rarely,4,3,2,Sales Executive,3,Married,4162,Yes,2,5,3,5,4,3
No,32,Travel_Rarely,4,3,2,Sales Executive,4,Married,9204,No,1,7,2,4,3,3
No,34,Travel_Rarely,4,2,1,Laboratory Technician,2,Married,3294,No,1,7,2,5,4,2
No,41,Travel_Rarely,2,4,1,Research Scientist,3,Married,2127,Yes,0,7,2,4,2,3
No,40,Non-Travel,3,3,2,Laboratory Technician,3,Divorced,3975,No,2,11,4,8,7,7
No,31,Travel_Rarely,1,3,3,Sales Executive,4,Divorced,10793,No,1,13,3,13,7,9
Yes,46,Travel_Rarely,1,3,3,Sales Executive,4,Divorced,10096,No,1,28,4,7,7,3
Yes,39,Non-Travel,1,2,1,Laboratory Technician,1,Single,3646,Yes,0,11,4,1,0,0
Yes,31,Travel_Frequently,3,4,3,Manufacturing Director,2,Single,7446,No,0,10,3,10,8,7
No,45,Travel_Rarely,2,1,3,Healthcare Representative,1,Divorced,10851,Yes,1,24,3,7,7,7
No,31,Travel_Rarely,4,4,1,Human Resources,2,Single,2109,No,0,8,3,3,2,2
Yes,31,Travel_Frequently,2,3,1,Laboratory Technician,4,Married,3722,Yes,1,7,1,2,2,2
No,45,Travel_Rarely,2,3,3,Manufacturing Director,4,Married,9380,Yes,2,10,4,3,1,2
No,48,Travel_Rarely,3,3,2,Sales Executive,1,Divorced,5486,No,3,15,3,2,2,2
Yes,34,Travel_Rarely,1,3,1,Human Resources,3,Married,2742,No,0,2,3,2,2,2
No,40,Non-Travel,4,2,3,Research Director,2,Divorced,13757,No,1,16,3,9,8,8
No,28,Travel_Rarely,4,3,2,Sales Executive,1,Single,8463,No,0,6,3,5,4,3
No,44,Non-Travel,3,2,1,Laboratory Technician,3,Single,3162,No,0,7,3,5,2,3
No,53,Travel_Rarely,4,4,4,Research Director,2,Single,16598,No,0,35,2,9,8,8
No,49,Travel_Rarely,1,3,2,Healthcare Representative,3,Married,6651,No,1,20,2,3,2,2
No,40,Travel_Rarely,3,3,1,Research Scientist,3,Divorced,2345,No,1,8,4,3,1,2
No,44,Travel_Rarely,4,3,1,Research Scientist,2,Single,3420,No,0,6,2,5,2,3
No,33,Travel_Frequently,4,3,2,Sales Executive,1,Married,4373,No,2,5,3,4,3,3
No,34,Travel_Rarely,4,1,2,Sales Executive,1,Single,4759,No,0,15,3,13,9,12
No,30,Travel_Rarely,4,3,2,Sales Executive,3,Married,5301,No,2,4,2,2,1,2
No,42,Travel_Frequently,1,3,1,Laboratory Technician,4,Single,3673,No,0,12,3,12,9,8
No,44,Travel_Frequently,1,3,2,Sales Executive,3,Married,4768,No,1,11,2,1,0,0
No,30,Non-Travel,3,3,1,Research Scientist,3,Divorced,1274,No,2,1,2,1,0,0
No,57,Travel_Rarely,2,4,2,Research Scientist,3,Married,4900,No,1,13,2,12,9,8
No,49,Travel_Rarely,3,3,3,Healthcare Representative,2,Divorced,10466,No,2,29,3,8,7,7
No,34,Travel_Frequently,2,3,4,Research Director,1,Divorced,17007,No,2,16,2,14,8,9
Yes,28,Travel_Frequently,1,3,1,Sales Representative,3,Married,2909,No,1,5,4,3,2,2
Yes,29,Travel_Frequently,1,3,2,Sales Executive,2,Single,5765,No,0,7,1,5,3,0
Yes,34,Travel_Rarely,1,2,2,Sales Executive,2,Single,4599,Yes,0,16,4,15,9,10
No,35,Travel_Rarely,4,3,1,Sales Representative,3,Married,2404,No,1,1,3,1,0,0
Yes,24,Travel_Frequently,2,3,1,Laboratory Technician,1,Single,3172,Yes,0,4,2,0,0,0
No,24,Non-Travel,4,3,1,Sales Representative,2,Married,2033,No,1,1,3,1,0,0
No,44,Travel_Frequently,2,3,3,Manufacturing Director,3,Single,10209,Yes,0,16,2,2,2,2
No,29,Travel_Rarely,3,2,2,Sales Executive,3,Divorced,8620,No,2,10,3,10,7,4
No,30,Travel_Rarely,3,3,1,Human Resources,3,Divorced,2064,No,1,6,4,5,3,3
No,55,Travel_Rarely,4,3,2,Healthcare Representative,3,Married,4035,Yes,0,4,3,3,2,2
No,33,Travel_Rarely,1,2,1,Laboratory Technician,2,Married,3838,No,0,8,3,5,4,2
No,47,Travel_Rarely,3,3,2,Sales Executive,3,Married,4591,Yes,1,11,2,5,4,2
Yes,28,Travel_Frequently,3,2,1,Laboratory Technician,1,Single,2561,No,0,8,2,0,0,0
No,28,Travel_Rarely,1,2,1,Research Scientist,3,Divorced,1563,No,1,1,1,1,0,0
No,28,Travel_Frequently,3,3,2,Sales Executive,1,Single,4898,No,0,5,3,4,2,3
No,49,Travel_Rarely,3,2,2,Laboratory Technician,1,Married,4789,No,1,10,3,3,2,2
No,29,Travel_Frequently,4,3,1,Laboratory Technician,2,Married,3180,No,3,4,3,3,2,2
No,28,Travel_Rarely,3,1,2,Manufacturing Director,2,Married,6549,No,2,8,2,8,6,7
No,33,Travel_Rarely,4,3,2,Healthcare Representative,3,Single,6388,Yes,0,14,3,0,0,0
No,32,Travel_Rarely,3,3,3,Manager,4,Single,11244,No,0,10,4,5,2,0
No,54,Travel_Frequently,2,3,4,Manager,4,Divorced,16032,No,1,26,3,14,9,12
Yes,29,Travel_Rarely,1,2,1,Research Scientist,1,Single,2362,No,0,11,1,9,7,7
No,44,Travel_Rarely,4,3,4,Research Director,1,Married,16328,No,1,24,4,20,6,17
No,39,Travel_Rarely,2,3,3,Manufacturing Director,2,Single,8376,No,0,9,3,2,0,2
No,46,Travel_Rarely,3,3,4,Manager,2,Married,16606,No,1,23,4,13,12,1
No,35,Travel_Rarely,4,2,3,Healthcare Representative,2,Single,8606,No,0,11,1,11,8,3
No,23,Travel_Rarely,1,3,2,Laboratory Technician,3,Single,2272,No,0,5,3,4,3,2
Yes,40,Travel_Rarely,4,3,1,Laboratory Technician,1,Single,2018,No,0,15,1,5,4,0
No,34,Travel_Rarely,4,2,3,Sales Executive,3,Married,7083,Yes,0,10,3,10,9,6
Yes,31,Travel_Frequently,4,3,1,Research Scientist,3,Single,4084,No,0,7,1,7,2,7
No,50,Travel_Frequently,3,1,4,Research Director,4,Single,14411,Yes,0,32,3,32,6,9
No,34,Travel_Rarely,2,3,1,Sales Representative,3,Married,2308,Yes,1,12,3,11,10,7
No,42,Travel_Rarely,3,2,1,Laboratory Technician,2,Married,4841,No,1,4,3,1,0,0
No,37,Travel_Rarely,1,3,2,Research Scientist,4,Married,4285,No,0,10,3,10,8,7
No,29,Travel_Rarely,3,1,2,Healthcare Representative,1,Married,9715,No,1,9,3,7,7,7
No,33,Travel_Rarely,4,2,2,Manufacturing Director,2,Single,4320,No,0,5,3,5,3,2
No,45,Travel_Rarely,4,3,1,Research Scientist,4,Married,2132,No,1,8,3,5,4,3
No,42,Travel_Frequently,4,3,3,Healthcare Representative,4,Married,10124,Yes,1,24,1,20,8,9
No,40,Travel_Rarely,1,3,2,Sales Executive,1,Married,5473,No,0,9,4,8,4,1
No,33,Travel_Rarely,2,3,2,Laboratory Technician,3,Married,5207,Yes,1,15,3,15,14,7
No,40,Travel_Rarely,3,3,4,Manager,4,Single,16437,Yes,0,21,3,21,7,7
No,24,Travel_Rarely,3,2,1,Laboratory Technician,1,Divorced,2296,No,3,2,3,1,1,0
No,40,Non-Travel,4,3,2,Healthcare Representative,4,Divorced,4069,Yes,0,8,3,2,2,2
No,45,Travel_Rarely,1,3,3,Healthcare Representative,2,Divorced,7441,No,3,10,3,10,8,7
No,35,Travel_Rarely,2,2,1,Sales Representative,3,Married,2430,No,2,6,3,5,3,2
No,32,Travel_Rarely,4,2,2,Research Scientist,2,Married,5878,No,1,12,3,7,1,5
No,36,Travel_Rarely,3,3,1,Sales Representative,4,Single,2644,Yes,0,7,2,3,2,2
No,48,Travel_Rarely,3,3,2,Sales Executive,3,Divorced,6439,No,1,18,3,8,7,7
No,29,Travel_Rarely,3,4,1,Research Scientist,3,Married,2451,No,2,5,2,1,0,0
No,33,Travel_Rarely,1,3,2,Sales Executive,1,Married,6392,No,1,8,1,2,2,2
Yes,30,Travel_Rarely,2,2,2,Sales Executive,1,Married,9714,No,1,10,3,10,8,7
No,38,Travel_Frequently,3,3,2,Human Resources,3,Married,6077,No,0,10,3,6,3,2
No,35,Travel_Rarely,4,2,1,Laboratory Technician,1,Single,2450,No,0,3,3,3,0,2
No,30,Travel_Rarely,3,3,3,Sales Executive,2,Married,9250,No,1,9,3,4,2,3
Yes,35,Travel_Rarely,1,3,1,Laboratory Technician,1,Divorced,2074,Yes,1,1,3,1,0,0
Yes,53,Travel_Rarely,3,2,3,Manufacturing Director,4,Married,10169,No,1,34,3,33,7,9
Yes,38,Travel_Rarely,3,3,2,Manufacturing Director,2,Married,4855,No,2,7,3,5,2,4
No,32,Non-Travel,4,3,2,Research Scientist,1,Married,4087,No,1,9,2,6,5,2
No,48,Travel_Rarely,3,3,1,Research Scientist,1,Married,2367,No,1,10,2,8,2,6
No,34,Travel_Rarely,1,3,1,Research Scientist,4,Single,2972,No,0,1,1,1,0,0
